date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,bde_retro_flag,csw_retro_flag,sadf_retro_flag,smt_retro_flag,family_count_retro,consensus_retro,bde_online_flag,csw_online_flag,sadf_online_flag,smt_online_flag,family_count_online,consensus_online
2025-08-14,45.442,3.8164367875288114,-0.41041588964756975,-1.0357921484093229,-1.590198877765085,-1.6141809008390626,-1.590198877765085,0.7638469484122067,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-15,47.795,3.866921031515726,-0.26528898315107186,-0.826348927273951,-1.3887375391401746,-1.3978430273139804,-1.3887375391401746,0.7928302701830653,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-16,46.296,3.8350555642715376,-0.18489608635591856,-1.1706433956551772,-1.515774667589673,-1.532562095412826,-1.515774667589673,0.8143361328744846,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-17,46.04,3.829510583853682,-0.12209026098551282,-1.287447413125482,-1.5405105817946823,-1.5485216053649928,-1.5405105817946823,0.8337346283164766,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-18,43.321,3.7686375058922117,-0.16280524769065097,-0.7103948756566987,-1.7340677233518826,-1.740871799243456,-1.7374697612976693,0.8344400971100857,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-19,41.303,3.720935136554068,-0.27849324796406477,-0.49456510025035905,-1.798107494886294,-1.80422033689057,-1.8010250067351543,0.8170502999462935,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-20,42.999,3.7611768596091886,-0.3242905327098355,-1.1974746616630343,-1.8053424446527526,-1.812701754178816,-1.8088058070182411,0.8154166439759122,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-21,40.454,3.700165526130904,-0.4641636116735115,-0.717666674250089,-1.8603458321641533,-1.866682643383294,-1.8631078150653901,0.7905048878138501,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-22,45.335,3.8140793610980195,-0.4194265150419925,0.4279838627133037,-1.8662856849502227,-1.8743459314008728,-1.8698462636641116,0.8047585446114769,0,1,0,0,1,0,0,1,0,0,1,0
2025-08-23,44.91,3.8046604870996465,-0.3944225487290805,-0.6224463487580107,-1.89854412732462,-1.906720095070426,-1.9024020749165944,0.8159751314756423,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-24,46.061,3.829966604968847,-0.33448683221979436,-0.6783884999647702,-1.8389724123082916,-1.8470921033971401,-1.8427752338746823,0.8330399126483846,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-25,42.976,3.760641820340827,-0.38763098528834405,-0.5774680441030693,-2.0291295559097433,-2.0355026634419553,-2.031976261053839,0.8295760881189957,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-26,48.794,3.8876073544803575,-0.24426744820404922,0.614422210909277,-1.8072739764357484,-1.8149503352988292,-1.8101812025232857,0.8567091781125995,0,1,0,0,1,0,0,1,0,0,1,0
2025-08-27,47.04,3.8509983035903717,-0.1694591768519687,-0.9093339226970882,-1.9548223551891195,-1.9607171876622644,-1.95602063725023,0.8766193672967538,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-28,45.608,3.8200831397292805,-0.14923428286799112,-1.257742733647562,-2.0542022540221625,-2.059284037792618,-2.054223102063646,0.8886459456287336,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-29,44.432,3.793959930564444,-0.17287292441935717,-1.2017742059596035,-2.1200401813032292,-2.127348674089078,-2.1209214513988663,0.8927984639787275,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-30,44.066,3.785688510041997,-0.2102947959728607,-1.3235092111211415,-2.1438075903665177,-2.153183030166172,-2.1453422842748324,0.8940842943504961,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-31,44.28,3.790533107840436,-0.24047024777352413,-1.529896600969904,-2.1475929751239056,-2.1591735430116534,-2.149733352771914,0.8966556172498057,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-01,43.126,3.764126063488474,-0.31173504993445766,-1.4072177432251707,-2.1954369975226,-2.2084871888813846,-2.198073707890243,0.8903740472810553,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-02,44.901,3.80446006621512,-0.3190856265399298,-1.246941025660431,-2.1643974378480055,-2.1798323160578263,-2.1674518092923507,0.8967512698584543,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-03,45.883,3.8260946780920837,-0.2952819230415844,-1.3213765042450585,-2.1257568625512984,-2.1440846567017693,-2.1295616211817014,0.9084986139301331,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-04,45.373,3.814917214478603,-0.2924132801412173,-1.7286112669771565,-2.157415349535616,-2.1771297350297303,-2.162104785448257,0.9168839352670073,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-05,47.271,3.855896999648018,-0.22913646533251214,-1.2237169597572095,-2.060012845015688,-2.0799703248271557,-2.06543884228172,0.9345607027129395,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-06,46.015,3.8289674302908203,-0.21342397649637596,-1.537557226241688,-2.1426266845044615,-2.164126587148102,-2.1491059219002624,0.9455363160977719,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-07,47.113,3.8525489714316046,-0.16472423606431066,-1.6111307978691372,-2.0819568214605457,-2.1036892291252305,-2.0940846700765205,0.9615822118790237,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-08,50.901,3.929882569728912,-0.0017258342651289005,-0.41236622408085344,-1.800159324787142,-1.8207893791393486,-1.81203160418959,0.9888145614722997,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-09,53.315,3.976217717470143,0.2185043618130235,-0.34247571047321523,-1.5319051904647698,-1.5525053133298083,-1.5441050309697666,1.0178628427687304,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-10,55.494,4.016274906800178,0.4780659229321007,-0.2684101367282552,-1.257357255105632,-1.2814491136609019,-1.270010556551737,1.046007870289081,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-11,57.054,4.043998187785363,0.7506018253078085,-0.2947247326263107,-1.0455095879212772,-1.0634070610187458,-1.0546384363937202,1.0726283028351307,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-12,55.255,4.011958834040746,0.9497900972659512,-0.8448822133481106,-1.243858202754574,-1.2736387893529908,-1.2589795792790708,1.1009532133494855,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-13,54.456,3.9973930361456502,1.1109227441294167,-1.1180285181187644,-1.3122716168954134,-1.3441072503934655,-1.328685492238508,1.1290508314954102,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-14,53.688,3.983189512855938,1.238978765095247,-1.2961337769537544,-1.3641004631466445,-1.3990576870587943,-1.3777527899103499,1.1563424424829498,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-15,54.0,3.9889840465642745,1.3630693680825987,-1.3187161282912436,-1.2565480571091885,-1.3434945622374188,-1.300381718443219,1.183578244513516,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-16,54.456,3.9973930361456502,1.486732919699932,-1.3223457903435436,-1.174636965586604,-1.2612668916678433,-1.203507401727248,1.2108699934625096,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-17,57.766,4.056400367305956,1.674238546788426,-0.7968631834719277,-0.8083462219216807,-0.8505108825655907,-0.8172438468966035,1.2376162131937545,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-18,58.681,4.072115994711034,1.8631801518548037,-1.013326518464059,-0.6794753136633854,-0.707318902909158,-0.692873917884746,1.2933348618210405,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-19,56.181,4.028578621446481,1.9810238259141026,-1.1463022457374301,-0.9597405104292109,-1.0002324284511985,-0.9764254504581776,1.3139059564680056,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-20,54.25,3.993602992420569,2.0459054632288893,-1.0254764300267447,-1.1159066822758266,-1.1743223328259766,-1.1405280126739266,1.3162151380826392,0,0,0,0,0,0,0,0,0,0,0,0
