date,close,logp,bde,csw_excess,sadf,qadf,cadf,smt,hmm_state,hmm_bull_flag,bde_retro_flag,csw_retro_flag,sadf_retro_flag,smt_retro_flag,family_count_retro,consensus_retro,bde_online_flag,csw_online_flag,sadf_online_flag,smt_online_flag,family_count_online,consensus_online
2018-01-23,980.0,6.887552571664617,8.530203542563973,-0.8711450514108958,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,1061.0,6.966967138613983,8.486310672004494,-0.7523129609800465,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,1056.52,6.9627357673076,8.43873576986271,-0.7697090770796207,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,1051.03,6.957525914713149,8.387393433014706,-0.7885507442016468,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-27,1118.99,7.020181771721503,8.348423214008305,-0.6967064647933303,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-28,1251.96,7.132465602267878,8.3330692681147,-0.4370670036927684,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,1177.01,7.070732603400905,8.29936303855372,-0.656694986908513,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-30,1085.5,6.989795989318346,8.243568781753218,-0.7824451272402031,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-31,1124.81,7.025369411486297,8.193913173772403,-0.7635255283233748,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,1041.94,6.948839639081533,8.123771654162963,-0.9078258665315597,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-02,922.3,6.826870550241673,8.023099755141587,-0.20061190580418353,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-03,971.0,6.878326468291325,7.933916858780296,-0.9739891180896214,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-04,823.56,6.7136364067085434,7.804755051320847,0.2864049539632094,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2018-02-05,697.92,6.548104483013264,7.637160779108638,1.0975336281112131,,,,,-1,0,0,1,0,0,1,0,0,1,0,0,1,0
2018-02-06,779.25,6.658331918647447,7.498083263157837,-0.3174737705240851,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-07,754.0,6.625392368007956,7.352572285046116,-0.2990203044365809,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-08,781.66,6.661419863391251,7.216979163906803,-0.5788787897008194,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-09,877.0,6.776506992372183,7.10890673609669,-0.4787584697083702,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-10,851.15,6.746588376260579,6.993935703478039,-1.1239070622108007,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-11,808.99,6.6957865560426635,6.8676311866862845,-0.9950251046086789,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-12,866.66,6.764646743004185,6.757804965522691,-1.1443627080026613,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-13,841.57,6.735269194960265,6.641439299067548,-1.2693487796706728,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-14,919.09,6.823384050095974,6.545457204125852,-0.8639977077622294,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-15,924.55,6.829307132652995,6.45046649765772,-1.3309404926101338,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-16,938.67,6.844463979739881,6.358539011481732,-1.3145375605562073,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-17,969.99,6.877285762165937,6.273576416916296,-1.2702142663390432,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-18,911.0,6.814542897259958,6.173744475626612,-1.225588992836099,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-19,938.11,6.843867212919456,6.0804098981951995,-1.3380700614848862,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-20,882.99,6.783313875511519,5.9730610382686455,-1.2552155478230071,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-21,835.89,6.728497025480064,5.853591534356643,-1.101143053237609,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-22,801.49,6.686472495365411,5.725499114225948,-1.0488028722374707,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-23,851.6,6.747116933019324,5.612194741134603,-1.2511056052040344,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-24,833.94,6.7261614573247215,5.494849024060096,-1.545369522888725,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-25,841.19,6.7348175559785215,5.380252992821141,-1.5377021350768432,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-26,867.98,6.766168672920237,5.273304653294209,-1.498399396873596,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-27,870.11,6.768619640437782,5.167343909646403,-1.4995552899991538,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-28,853.5,6.7493455422344955,5.057613586130627,-1.527501140818368,,,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
